,product_ID,sale_date,sales_rep,region,quantity_Sold,product_category,unit_cost,unit_price,customer_type,payment_method,sales_channel,sales,cost_of_sales,gross margin
15,1053,2023-10-16,Bob,North,48,Furniture,121.19,487.65,New,Cash,Retail,23407.199999999997,5817.12,17590.079999999998
16,1002,2023-05-30,David,North,17,Furniture,4024.76,4420.150000000001,Returning,Cash,Online,75142.55,68420.92,6721.630000000005
17,1088,2023-10-04,Bob,East,40,Electronics,4904.93,5034.35,New,Credit Card,Retail,201374.0,196197.2,5176.799999999988
18,1030,2023-07-17,David,West,19,Clothing,3049.33,3209.22,Returning,Cash,Online,60975.17999999999,57937.27,3037.909999999996
19,1038,2023-03-11,Bob,South,15,Clothing,2543.36,2790.1000000000004,Returning,Cash,Online,41851.50000000001,38150.4,3701.100000000006
20,1002,2023-04-22,Eve,North,9,Electronics,4398.16,4439.12,New,Bank Transfer,Online,39952.08,39583.44,368.6399999999994
21,1064,2023-01-04,Eve,East,10,Electronics,4764.96,5074.42,New,Cash,Online,50744.2,47649.6,3094.5999999999985
22,1060,2023-12-16,Eve,East,44,Clothing,3784.96,4276.99,New,Bank Transfer,Retail,188187.56,166538.24,21649.320000000007
23,1021,2023-11-27,Alice,South,31,Furniture,2254.99,2441.79,Returning,Bank Transfer,Online,75695.49,69904.68999999999,5790.8000000000175
24,1033,2023-11-14,David,South,23,Furniture,2981.5,3360.4,Returning,Bank Transfer,Retail,77289.2,68574.5,8714.699999999997
25,1076,2023-12-16,Eve,East,30,Clothing,3519.63,3774.65,New,Credit Card,Retail,113239.5,105588.90000000001,7650.599999999991
26,1058,2023-04-05,Alice,North,33,Furniture,1011.65,1084.28,Returning,Bank Transfer,Retail,35781.24,33384.45,2396.790000000001
27,1022,2023-06-01,David,East,9,Electronics,2263.65,2558.9500000000003,New,Cash,Online,23030.550000000003,20372.850000000002,2657.7000000000007
28,1089,2023-11-07,Bob,West,47,Furniture,4157.62,4314.56,New,Bank Transfer,Retail,202784.32,195408.13999999998,7376.180000000022
29,1049,2023-05-17,Alice,West,1,Furniture,3290.89,3317.75,Returning,Bank Transfer,Online,3317.75,3290.89,26.860000000000127
30,1091,2023-09-04,Charlie,South,44,Food,2085.46,2406.58,Returning,Bank Transfer,Retail,105889.51999999999,91760.24,14129.279999999984
31,1059,2023-08-31,Alice,North,35,Food,3333.64,3764.52,Returning,Credit Card,Online,131758.2,116677.4,15080.800000000017
32,1042,2023-01-31,Alice,North,11,Food,635.2,814.1400000000001,Returning,Cash,Online,8955.54,6987.200000000001,1968.3400000000001
33,1092,2023-02-09,David,West,34,Furniture,2037.41,2238.65,New,Credit Card,Online,76114.1,69271.94,6842.1600000000035
34,1060,2023-08-17,Bob,East,16,Clothing,3975.99,4422.59,New,Cash,Online,70761.44,63615.84,7145.600000000006
35,1080,2023-02-05,Charlie,South,9,Electronics,1141.52,1550.19,New,Credit Card,Retail,13951.710000000001,10273.68,3678.0300000000007
36,1015,2023-08-11,Eve,East,32,Furniture,970.51,1330.84,Returning,Cash,Retail,42586.88,31056.32,11530.559999999998
37,1062,2023-01-06,Eve,East,15,Clothing,4756.55,4888.46,New,Credit Card,Online,73326.9,71348.25,1978.6499999999942
38,1062,2023-11-18,Alice,East,12,Furniture,1088.99,1545.0,Returning,Bank Transfer,Retail,18540.0,13067.880000000001,5472.119999999999
39,1047,2023-08-08,David,North,33,Electronics,1341.55,1427.21,Returning,Credit Card,Online,47097.93,44271.15,2826.779999999999
40,1062,2023-03-16,David,West,45,Furniture,4849.6,5166.72,Returning,Credit Card,Online,232502.40000000002,218232.00000000003,14270.399999999994
41,1051,2023-01-04,Eve,North,14,Electronics,3686.81,3710.92,New,Bank Transfer,Retail,51952.880000000005,51615.34,337.54000000000815
42,1055,2023-12-01,Charlie,West,8,Furniture,3513.0,3838.42,Returning,Bank Transfer,Online,30707.36,28104.0,2603.3600000000006
43,1064,2023-05-14,Bob,South,8,Electronics,4271.99,4417.79,Returning,Cash,Online,35342.32,34175.92,1166.4000000000015
44,1003,2023-04-28,Charlie,South,27,Furniture,623.32,853.6600000000001,Returning,Cash,Online,23048.820000000003,16829.640000000003,6219.18
45,1051,2023-04-04,Bob,East,12,Electronics,3544.48,3723.66,Returning,Cash,Online,44683.92,42533.76,2150.159999999996
46,1007,2023-03-03,Eve,West,1,Food,2543.26,2637.9100000000003,Returning,Credit Card,Online,2637.9100000000003,2543.26,94.65000000000009
47,1021,2023-07-13,Bob,West,43,Furniture,4154.3,4469.07,Returning,Cash,Retail,192170.00999999998,178634.9,13535.109999999986
48,1073,2023-12-01,David,West,40,Furniture,2565.3,3007.4700000000003,Returning,Credit Card,Retail,120298.80000000002,102612.0,17686.800000000017
49,1039,2023-07-22,Alice,East,42,Clothing,3120.19,3600.14,Returning,Credit Card,Retail,151205.88,131047.98,20157.90000000001
50,1018,2023-01-26,Alice,East,11,Clothing,2414.82,2519.07,Returning,Cash,Online,27709.77,26563.02,1146.75
51,1004,2023-06-22,Eve,South,39,Electronics,2416.89,2778.4,Returning,Cash,Online,108357.6,94258.70999999999,14098.890000000014
52,1089,2023-10-27,David,North,43,Furniture,3851.45,4186.98,Returning,Credit Card,Online,180040.13999999998,165612.35,14427.789999999979
53,1060,2023-05-13,Charlie,West,31,Electronics,3161.4,3339.66,Returning,Bank Transfer,Online,103529.45999999999,98003.40000000001,5526.059999999983
54,1014,2023-11-22,David,West,17,Food,3184.65,3204.01,New,Bank Transfer,Online,54468.170000000006,54139.05,329.1200000000026
55,1009,2023-04-28,Alice,North,33,Clothing,2278.9,2626.9,New,Credit Card,Online,86687.7,75203.7,11484.0
56,1090,2023-11-20,Alice,West,32,Electronics,2678.99,3152.28,Returning,Cash,Retail,100872.96,85727.68,15145.280000000013
57,1053,2023-10-02,David,East,29,Electronics,3741.3,4061.04,Returning,Credit Card,Online,117770.16,108497.70000000001,9272.459999999992
58,1002,2023-07-31,David,East,21,Clothing,4138.41,4361.7,Returning,Credit Card,Retail,91595.7,86906.61,4689.0899999999965
59,1084,2023-08-13,Alice,West,21,Furniture,3497.98,3765.31,New,Cash,Online,79071.51,73457.58,5613.929999999993
60,1092,2023-01-20,Charlie,East,40,Electronics,4624.16,4731.98,New,Bank Transfer,Retail,189279.19999999998,184966.4,4312.799999999988
61,1060,2023-04-23,Eve,East,23,Clothing,4110.6,4488.370000000001,New,Credit Card,Online,103232.51000000002,94543.8,8688.710000000021
62,1071,2023-05-20,Eve,West,6,Furniture,2831.23,3206.98,Returning,Bank Transfer,Retail,19241.88,16987.38,2254.5
63,1044,2023-02-16,David,South,22,Food,3373.46,3454.76,Returning,Bank Transfer,Retail,76004.72,74216.12,1788.6000000000058
64,1008,2023-01-01,Eve,North,38,Clothing,4635.23,5075.44,Returning,Cash,Online,192866.71999999997,176138.74,16727.97999999998
65,1047,2023-03-31,Alice,East,37,Electronics,3114.88,3256.78,Returning,Credit Card,Online,120500.86,115250.56,5250.300000000003
66,1035,2023-05-22,Alice,South,45,Food,4132.79,4624.1,New,Credit Card,Retail,208084.50000000003,185975.55,22108.95000000004
67,1078,2023-11-16,David,East,8,Furniture,3459.61,3657.23,Returning,Bank Transfer,Online,29257.84,27676.88,1580.9599999999991
68,1081,2023-02-07,David,East,41,Furniture,2782.08,2879.24,New,Bank Transfer,Online,118048.84,114065.28,3983.5599999999977
69,1036,2023-10-20,David,North,49,Clothing,1247.1,1429.4399999999998,New,Cash,Online,70042.56,61107.899999999994,8934.660000000003
70,1050,2023-05-19,Charlie,East,35,Clothing,2158.69,2384.38,Returning,Bank Transfer,Retail,83453.3,75554.15000000001,7899.149999999994
71,1004,2023-12-22,Eve,North,11,Clothing,4840.33,4884.29,New,Cash,Online,53727.19,53243.63,483.56000000000495
72,1002,2023-11-29,David,North,24,Furniture,3305.94,3599.27,New,Credit Card,Retail,86382.48,79342.56,7039.919999999998
73,1006,2023-09-16,Bob,North,49,Food,2843.76,3146.6000000000004,New,Cash,Retail,154183.40000000002,139344.24000000002,14839.160000000003
74,1054,2023-06-10,Bob,South,21,Furniture,4668.14,5040.22,New,Bank Transfer,Online,105844.62000000001,98030.94,7813.680000000008
75,1004,2023-06-27,Alice,West,2,Electronics,2953.23,2977.52,Returning,Credit Card,Retail,5955.04,5906.46,48.57999999999993
76,1054,2023-01-10,Eve,South,40,Furniture,2654.11,2929.32,Returning,Cash,Online,117172.8,106164.40000000001,11008.399999999994
77,1093,2023-09-18,David,West,19,Electronics,3808.59,3844.51,New,Credit Card,Online,73045.69,72363.21,682.4799999999959
78,1063,2023-05-18,Bob,West,39,Food,3577.69,3931.25,Returning,Cash,Retail,153318.75,139529.91,13788.839999999997
79,1018,2023-06-21,Eve,North,28,Clothing,1006.14,1043.45,New,Bank Transfer,Retail,29216.600000000002,28171.92,1044.680000000004
80,1090,2023-01-13,Alice,East,17,Clothing,2382.98,2839.73,Returning,Bank Transfer,Retail,48275.41,40510.66,7764.75
81,1044,2023-06-17,Charlie,North,6,Furniture,2388.95,2742.97,Returning,Credit Card,Retail,16457.82,14333.699999999999,2124.120000000001
82,1034,2023-05-10,Eve,East,19,Clothing,1922.21,2180.83,Returning,Credit Card,Retail,41435.77,36521.99,4913.779999999999
83,1074,2023-03-25,Eve,West,38,Food,2610.6,2836.94,Returning,Credit Card,Online,107803.72,99202.8,8600.919999999998
84,1062,2023-11-17,Charlie,North,28,Clothing,2094.88,2168.9100000000003,Returning,Cash,Retail,60729.48000000001,58656.64,2072.840000000011
85,1100,2023-11-15,Eve,East,2,Furniture,1036.76,1189.35,New,Bank Transfer,Online,2378.7,2073.52,305.17999999999984
86,1014,2023-04-11,Alice,South,38,Food,2091.21,2527.0,Returning,Credit Card,Online,96026.0,79465.98,16560.020000000004
87,1095,2023-11-25,Alice,East,37,Electronics,407.77,860.95,New,Credit Card,Retail,31855.15,15087.49,16767.660000000003
88,1048,2023-09-30,Charlie,North,4,Furniture,2900.14,2910.51,New,Credit Card,Retail,11642.04,11600.56,41.48000000000138
89,1015,2023-09-22,David,South,22,Electronics,4275.59,4576.72,Returning,Cash,Retail,100687.84000000001,94062.98000000001,6624.860000000001
90,1072,2023-02-07,Bob,East,26,Food,3640.17,4002.63,New,Credit Card,Retail,104068.38,94644.42,9423.960000000006
91,1078,2023-04-04,David,East,49,Furniture,1833.95,2147.14,Returning,Credit Card,Retail,105209.86,89863.55,15346.309999999998
92,1087,2023-04-05,Eve,East,43,Furniture,481.0,531.02,New,Cash,Online,22833.86,20683.0,2150.8600000000006
93,1062,2023-11-01,Bob,East,36,Food,1050.64,1167.3300000000002,New,Cash,Online,42023.880000000005,37823.04,4200.840000000004
94,1040,2023-03-10,Charlie,East,13,Clothing,2750.18,2882.85,Returning,Credit Card,Online,37477.049999999996,35752.34,1724.7099999999991
95,1085,2023-11-14,Charlie,South,32,Furniture,1074.93,1492.48,Returning,Credit Card,Retail,47759.36,34397.76,13361.599999999999
96,1080,2023-08-24,Bob,West,17,Furniture,2742.67,2979.64,Returning,Cash,Retail,50653.88,46625.39,4028.489999999998
97,1082,2023-11-30,Alice,South,41,Electronics,1196.42,1444.97,Returning,Bank Transfer,Online,59243.770000000004,49053.22,10190.550000000003
98,1053,2023-05-17,Bob,South,36,Clothing,4252.17,4720.27,New,Cash,Retail,169929.72000000003,153078.12,16851.600000000035
99,1024,2023-03-17,Eve,South,46,Electronics,2016.49,2338.66,Returning,Bank Transfer,Retail,107578.35999999999,92758.54,14819.819999999992
100,1026,2023-02-04,Alice,West,19,Electronics,1265.48,1715.83,New,Credit Card,Retail,32600.769999999997,24044.12,8556.649999999998
101,1089,2023-01-01,Charlie,North,35,Clothing,4071.01,4304.7,New,Credit Card,Online,150664.5,142485.35,8179.149999999994
102,1060,2023-10-23,Bob,West,46,Clothing,1747.05,1830.27,New,Bank Transfer,Retail,84192.42,80364.3,3828.1199999999953
103,1041,2023-11-16,David,South,40,Food,601.86,1067.53,New,Cash,Online,42701.2,24074.4,18626.799999999996
104,1029,2023-03-01,David,East,28,Clothing,2873.53,3108.3,New,Credit Card,Retail,87032.40000000001,80458.84000000001,6573.559999999998
105,1015,2023-11-16,Eve,East,1,Furniture,2928.74,3027.74,New,Bank Transfer,Retail,3027.74,2928.74,99.0
106,1045,2023-12-15,David,South,42,Clothing,3587.74,3745.91,Returning,Cash,Online,157328.22,150685.08,6643.140000000014
107,1065,2023-11-24,Bob,East,18,Food,1239.09,1273.98,New,Bank Transfer,Retail,22931.64,22303.62,628.0200000000004
108,1089,2023-09-24,Bob,South,48,Food,2246.67,2486.14,New,Cash,Retail,119334.72,107840.16,11494.559999999998
109,1071,2023-12-27,David,East,40,Food,1447.72,1875.75,New,Cash,Retail,75030.0,57908.8,17121.199999999997
110,1009,2023-08-17,Bob,West,33,Clothing,450.72,918.17,Returning,Cash,Online,30299.609999999997,14873.76,15425.849999999997
111,1088,2023-09-27,Eve,North,12,Clothing,4389.24,4856.219999999999,Returning,Cash,Retail,58274.63999999999,52670.88,5603.759999999995
112,1001,2023-11-12,Alice,North,8,Electronics,3657.91,3729.27,New,Bank Transfer,Retail,29834.16,29263.28,570.880000000001
113,1008,2023-10-13,Eve,West,24,Electronics,1542.24,1739.45,Returning,Bank Transfer,Retail,41746.8,37013.76,4733.040000000001
114,1088,2023-10-18,Eve,West,16,Furniture,3016.9,3040.73,New,Bank Transfer,Retail,48651.68,48270.4,381.27999999999884
115,1063,2023-08-01,Bob,South,4,Electronics,1046.26,1475.29,Returning,Bank Transfer,Retail,5901.16,4185.04,1716.12
116,1011,2023-06-14,Alice,South,38,Furniture,4456.67,4642.46,New,Bank Transfer,Online,176413.48,169353.46,7060.020000000019
117,1081,2023-01-05,Bob,South,44,Food,618.79,938.04,Returning,Cash,Online,41273.759999999995,27226.76,14046.999999999996
118,1008,2023-12-05,Charlie,East,27,Electronics,68.99,429.29,Returning,Credit Card,Retail,11590.83,1862.7299999999998,9728.1
119,1035,2023-03-19,Bob,South,9,Clothing,2534.94,2755.56,Returning,Credit Card,Retail,24800.04,22814.46,1985.5800000000017
120,1035,2023-03-03,Bob,West,47,Electronics,2936.48,3096.64,New,Bank Transfer,Online,145542.08,138014.56,7527.5199999999895
121,1033,2023-05-12,Bob,North,16,Furniture,2915.88,3397.36,New,Bank Transfer,Retail,54357.76,46654.08,7703.68
122,1005,2023-03-30,Alice,East,12,Electronics,319.83,802.4300000000001,New,Credit Card,Retail,9629.16,3837.96,5791.2
123,1041,2023-08-25,Bob,South,31,Food,1604.52,1756.34,Returning,Cash,Retail,54446.54,49740.12,4706.419999999998
124,1028,2023-02-11,Alice,East,24,Clothing,2521.03,2766.05,Returning,Bank Transfer,Retail,66385.20000000001,60504.72,5880.4800000000105
125,1007,2023-03-30,David,East,14,Furniture,1122.07,1608.76,New,Cash,Retail,22522.64,15708.98,6813.66
126,1073,2023-10-23,Charlie,South,45,Clothing,4369.5,4381.89,Returning,Credit Card,Retail,197185.05000000002,196627.5,557.5500000000175
127,1072,2023-11-24,Alice,East,25,Clothing,481.19,693.4,New,Credit Card,Retail,17335.0,12029.75,5305.25
128,1012,2023-10-22,David,North,34,Furniture,2462.55,2521.77,New,Bank Transfer,Retail,85740.18,83726.70000000001,2013.4799999999814
129,1034,2023-04-14,Alice,West,3,Clothing,3472.51,3732.0,New,Cash,Online,11196.0,10417.53,778.4699999999993
130,1033,2023-01-14,Alice,West,24,Clothing,1345.67,1367.76,New,Bank Transfer,Online,32826.24,32296.08,530.1599999999962
131,1048,2023-10-15,Charlie,North,42,Electronics,3139.99,3349.37,Returning,Credit Card,Retail,140673.54,131879.58,8793.960000000021
132,1023,2023-06-28,Eve,East,9,Clothing,4155.46,4273.6,Returning,Cash,Retail,38462.4,37399.14,1063.260000000002
133,1062,2023-05-05,Eve,South,26,Clothing,992.17,1263.49,Returning,Bank Transfer,Retail,32850.74,25796.42,7054.32
134,1088,2023-12-19,Alice,East,20,Clothing,4590.24,5088.28,New,Bank Transfer,Retail,101765.59999999999,91804.79999999999,9960.800000000003
135,1037,2023-01-23,Bob,North,40,Clothing,2790.11,3192.37,Returning,Bank Transfer,Online,127694.79999999999,111604.40000000001,16090.39999999998
136,1099,2023-03-04,David,East,10,Furniture,1531.2,1955.56,New,Credit Card,Online,19555.6,15312.0,4243.5999999999985
137,1044,2023-05-23,Bob,West,19,Food,2182.75,2504.03,New,Bank Transfer,Online,47576.57000000001,41472.25,6104.320000000007
138,1086,2023-06-02,Bob,East,3,Electronics,1595.35,1625.7099999999998,New,Cash,Online,4877.129999999999,4786.049999999999,91.07999999999993
139,1091,2023-05-25,Alice,North,24,Clothing,3639.3,3750.63,New,Bank Transfer,Retail,90015.12,87343.20000000001,2671.9199999999837
140,1035,2023-08-13,Alice,West,5,Clothing,3991.69,4454.97,New,Credit Card,Retail,22274.850000000002,19958.45,2316.4000000000015
141,1065,2023-11-05,Alice,East,3,Furniture,4173.04,4362.44,New,Bank Transfer,Retail,13087.32,12519.119999999999,568.2000000000007
142,1099,2023-04-14,Alice,East,27,Food,4929.55,4990.33,Returning,Credit Card,Online,134738.91,133097.85,1641.0599999999977
143,1047,2023-04-14,Eve,West,16,Clothing,3966.86,4321.04,Returning,Credit Card,Retail,69136.64,63469.76,5666.879999999997
144,1078,2023-02-08,Alice,South,49,Furniture,3026.85,3183.58,Returning,Cash,Retail,155995.41999999998,148315.65,7679.7699999999895
145,1003,2023-07-17,Eve,West,15,Electronics,1729.14,1870.88,Returning,Cash,Online,28063.2,25937.100000000002,2126.0999999999985
146,1001,2023-05-14,Eve,South,35,Electronics,2745.75,3244.76,New,Bank Transfer,Online,113566.6,96101.25,17465.350000000006
147,1005,2023-03-08,Alice,North,12,Clothing,253.29,683.78,New,Credit Card,Online,8205.36,3039.48,5165.880000000001
148,1090,2023-06-28,Charlie,North,41,Clothing,3736.88,3946.77,Returning,Credit Card,Online,161817.57,153212.08000000002,8605.48999999999
149,1014,2023-02-11,David,West,44,Food,2257.48,2747.81,Returning,Cash,Online,120903.64,99329.12,21574.520000000004
150,1027,2023-01-15,Bob,West,26,Food,149.11,477.67,Returning,Cash,Retail,12419.42,3876.8600000000006,8542.56
151,1009,2023-04-21,Eve,North,47,Clothing,359.41,733.0,Returning,Bank Transfer,Retail,34451.0,16892.27,17558.73
152,1079,2023-06-06,David,South,34,Furniture,1967.96,1993.4,Returning,Credit Card,Online,67775.6,66910.64,864.9600000000064
153,1015,2023-10-16,Charlie,North,23,Food,2937.94,3007.53,Returning,Cash,Retail,69173.19,67572.62,1600.570000000007
154,1090,2023-08-19,Bob,West,31,Clothing,2347.81,2668.02,Returning,Bank Transfer,Retail,82708.62,72782.11,9926.509999999995
155,1042,2023-06-06,Bob,North,20,Food,3115.06,3565.58,Returning,Credit Card,Retail,71311.6,62301.2,9010.400000000009
156,1077,2023-02-07,Eve,West,12,Clothing,2427.46,2743.09,New,Credit Card,Retail,32917.08,29129.52,3787.5600000000013
157,1051,2023-04-07,Alice,West,23,Electronics,3325.43,3401.1,New,Cash,Online,78225.3,76484.89,1740.4100000000035
158,1063,2023-10-16,Charlie,North,4,Clothing,1134.67,1201.39,New,Bank Transfer,Retail,4805.56,4538.68,266.8800000000001
159,1096,2023-09-11,Eve,South,23,Electronics,608.57,1032.22,New,Cash,Retail,23741.06,13997.11,9743.95
160,1052,2023-07-15,Charlie,East,48,Food,3002.35,3080.61,Returning,Bank Transfer,Retail,147869.28,144112.8,3756.4800000000105
161,1096,2023-03-27,Alice,North,48,Clothing,2449.21,2714.12,New,Credit Card,Online,130277.76,117562.08,12715.679999999993
162,1004,2023-11-18,Alice,East,1,Food,182.99,211.18,Returning,Bank Transfer,Retail,211.18,182.99,28.189999999999998
163,1094,2023-01-10,Eve,North,25,Electronics,1933.39,1982.92,New,Bank Transfer,Online,49573.0,48334.75,1238.25
164,1023,2023-01-05,Alice,East,2,Clothing,575.32,914.77,Returning,Bank Transfer,Online,1829.54,1150.64,678.8999999999999
165,1015,2023-05-03,David,South,30,Food,2680.22,3027.92,Returning,Bank Transfer,Online,90837.6,80406.59999999999,10431.000000000015
166,1043,2023-11-26,Bob,South,3,Electronics,2009.1,2186.42,New,Bank Transfer,Online,6559.26,6027.299999999999,531.960000000001
167,1029,2023-12-19,Eve,North,21,Food,3085.1,3200.75,New,Cash,Retail,67215.75,64787.1,2428.6500000000015
168,1036,2023-04-28,Charlie,West,25,Furniture,4037.73,4446.45,Returning,Bank Transfer,Online,111161.25,100943.25,10218.0
169,1013,2023-10-21,David,East,20,Electronics,1533.36,1649.7399999999998,Returning,Bank Transfer,Online,32994.799999999996,30667.199999999997,2327.5999999999985
170,1032,2023-06-08,Eve,West,49,Electronics,4812.41,5088.0,Returning,Credit Card,Online,249312.0,235808.09,13503.910000000003
171,1071,2023-10-30,Alice,West,22,Electronics,2701.39,3185.81,New,Bank Transfer,Online,70087.81999999999,59430.579999999994,10657.239999999998
172,1059,2023-08-16,Alice,West,21,Clothing,3110.54,3192.99,New,Credit Card,Online,67052.79,65321.34,1731.449999999997
173,1086,2023-12-31,Alice,South,33,Clothing,3419.33,3890.36,Returning,Cash,Retail,128381.88,112837.89,15543.990000000005
174,1028,2023-08-04,Alice,North,38,Clothing,3350.32,3449.94,New,Cash,Online,131097.72,127312.16,3785.5599999999977
175,1066,2023-07-03,Charlie,North,15,Furniture,2579.31,2867.36,Returning,Bank Transfer,Retail,43010.4,38689.65,4320.75
176,1042,2023-01-15,David,South,46,Furniture,2172.38,2367.11,New,Cash,Retail,108887.06000000001,99929.48000000001,8957.580000000002
177,1045,2023-06-06,Bob,South,15,Electronics,316.22,799.04,New,Bank Transfer,Online,11985.599999999999,4743.3,7242.299999999998
178,1062,2023-05-16,Charlie,North,46,Furniture,159.32,303.36,New,Cash,Retail,13954.560000000001,7328.719999999999,6625.840000000002
179,1057,2023-09-18,Charlie,West,25,Food,1821.91,2027.74,New,Bank Transfer,Retail,50693.5,45547.75,5145.75
180,1006,2023-06-06,Bob,East,21,Electronics,1701.62,2193.22,New,Bank Transfer,Retail,46057.619999999995,35734.02,10323.599999999999
181,1028,2023-02-16,Bob,East,24,Electronics,1969.09,2241.96,Returning,Credit Card,Online,53807.04,47258.159999999996,6548.880000000005
182,1028,2023-11-20,Alice,East,5,Food,734.92,991.21,Returning,Credit Card,Online,4956.05,3674.6,1281.4500000000003
183,1044,2023-11-28,Charlie,West,6,Electronics,3703.93,3840.24,New,Credit Card,Online,23041.44,22223.579999999998,817.8600000000006
184,1084,2023-06-22,Eve,North,49,Furniture,4291.97,4645.64,Returning,Credit Card,Online,227636.36000000002,210306.53,17329.830000000016
185,1030,2023-05-10,Bob,South,43,Clothing,4696.64,4713.68,Returning,Bank Transfer,Online,202688.24000000002,201955.52000000002,732.7200000000012
186,1062,2023-04-05,Bob,North,48,Food,2487.19,2521.4500000000003,New,Cash,Online,121029.6,119385.12,1644.4800000000105
187,1075,2023-04-25,David,West,44,Furniture,3519.29,3822.98,Returning,Bank Transfer,Online,168211.12,154848.76,13362.359999999986
188,1092,2023-08-31,Eve,South,47,Food,4284.98,4462.4,New,Credit Card,Retail,209732.8,201394.05999999997,8338.74000000002
189,1089,2023-10-19,Eve,West,23,Food,2120.54,2597.67,Returning,Credit Card,Retail,59746.41,48772.42,10973.990000000005
190,1062,2023-10-09,Bob,East,4,Electronics,1581.59,2034.15,Returning,Cash,Online,8136.6,6326.36,1810.2400000000007
191,1097,2023-10-26,Alice,East,27,Electronics,4686.79,5046.51,Returning,Credit Card,Retail,136255.77000000002,126543.33,9712.440000000017
192,1001,2023-10-10,David,West,18,Furniture,2602.6,3013.49,Returning,Bank Transfer,Online,54242.81999999999,46846.799999999996,7396.019999999997
193,1027,2023-03-10,Eve,South,21,Food,2511.41,2848.4,Returning,Bank Transfer,Online,59816.4,52739.61,7076.790000000001
194,1062,2023-05-28,Bob,South,28,Electronics,933.16,1004.7,Returning,Bank Transfer,Online,28131.600000000002,26128.48,2003.1200000000026
195,1077,2023-01-11,Eve,North,35,Electronics,585.37,970.49,Returning,Bank Transfer,Retail,33967.15,20487.95,13479.2
196,1003,2023-09-11,David,East,22,Food,4218.43,4331.42,New,Bank Transfer,Online,95291.24,92805.46,2485.779999999999
197,1070,2023-11-26,David,North,40,Furniture,3089.96,3258.45,New,Cash,Online,130338.0,123598.4,6739.600000000006
198,1072,2023-12-26,Charlie,North,23,Furniture,1662.83,2074.25,New,Bank Transfer,Online,47707.75,38245.09,9462.660000000003
199,1027,2023-02-07,Bob,West,3,Food,999.09,1271.99,New,Credit Card,Online,3815.9700000000003,2997.27,818.7000000000003
200,1009,2023-05-14,David,West,40,Furniture,2799.71,3231.08,Returning,Credit Card,Retail,129243.2,111988.4,17254.800000000003
201,1062,2023-07-19,Charlie,North,10,Electronics,2940.4,3054.79,Returning,Credit Card,Online,30547.9,29404.0,1143.9000000000015
202,1037,2023-01-23,Charlie,East,25,Food,1074.62,1382.4299999999998,Returning,Credit Card,Retail,34560.74999999999,26865.499999999996,7695.249999999996
203,1097,2023-10-30,Eve,West,49,Electronics,4264.46,4315.52,New,Cash,Retail,211460.48,208958.54,2501.9400000000023
204,1051,2023-12-12,Eve,North,8,Clothing,467.11,792.21,New,Credit Card,Online,6337.68,3736.88,2600.8
205,1044,2023-10-29,Charlie,North,11,Clothing,1812.66,2196.3,New,Cash,Online,24159.300000000003,19939.260000000002,4220.040000000001
206,1024,2023-12-29,Eve,North,5,Furniture,3417.9,3714.52,Returning,Credit Card,Retail,18572.6,17089.5,1483.0999999999985
207,1079,2023-08-06,David,North,45,Clothing,1406.9,1547.35,New,Cash,Retail,69630.75,63310.50000000001,6320.249999999993
